Num	Sample	Cell_Subtype	Cell_Type
297	PT039_P11_B08_S20	epithelial	Epithelial
298	PT039_P11_B09_S21	stroma	Stroma
299	PT039_P11_B10_S22	stroma	Stroma
300	PT039_P11_B11_S23	epithelial	Epithelial
301	PT039_P11_C03_S27	epithelial	Epithelial
302	PT039_P11_C05_S29	epithelial	Epithelial
303	PT039_P11_C06_S30	epithelial	Epithelial
304	PT039_P11_C07_S31	epithelial	Epithelial
305	PT039_P11_C09_S33	epithelial	Epithelial
306	PT039_P11_C11_S35	epithelial	Epithelial
307	PT039_P11_C12_S36	epithelial	Epithelial
308	PT039_P11_D01_S37	epithelial	Epithelial
309	PT039_P11_D02_S38	epithelial	Epithelial
310	PT039_P11_D03_S39	epithelial	Epithelial
311	PT039_P11_D04_S40	epithelial	Epithelial
312	PT039_P11_D05_S41	epithelial	Epithelial
313	PT039_P11_D07_S43	epithelial	Epithelial
314	PT039_P11_D08_S44	epithelial	Epithelial
315	PT039_P11_D09_S45	epithelial	Epithelial
316	PT039_P11_D10_S46	epithelial	Epithelial
317	PT039_P11_D12_S48	stroma	Stroma
318	PT039_P11_E01_S49	epithelial	Epithelial
319	PT039_P11_E02_S50	stroma	Stroma
320	PT039_P11_E03_S51	epithelial	Epithelial
321	PT039_P11_E04_S52	epithelial	Epithelial
322	PT039_P11_E05_S53	epithelial	Epithelial
323	PT039_P11_E06_S54	epithelial	Epithelial
324	PT039_P11_E09_S57	epithelial	Epithelial
325	PT039_P11_E11_S59	epithelial	Epithelial
326	PT039_P11_E12_S60	epithelial	Epithelial
327	PT039_P11_F01_S61	epithelial	Epithelial
328	PT039_P11_F02_S62	epithelial	Epithelial
329	PT039_P11_F03_S63	stroma	Stroma
330	PT039_P11_F05_S65	epithelial	Epithelial
331	PT039_P11_F06_S66	epithelial	Epithelial
332	PT039_P11_F07_S67	epithelial	Epithelial
333	PT039_P11_F10_S70	epithelial	Epithelial
334	PT039_P11_F11_S71	epithelial	Epithelial
335	PT039_P11_F12_S72	epithelial	Epithelial
336	PT039_P11_G01_S73	epithelial	Epithelial
337	PT039_P11_G02_S74	epithelial	Epithelial
338	PT039_P11_G03_S75	epithelial	Epithelial
339	PT039_P11_G04_S76	epithelial	Epithelial
340	PT039_P11_G05_S77	epithelial	Epithelial
341	PT039_P11_G07_S79	stroma	Stroma
342	PT039_P11_G08_S80	epithelial	Epithelial
343	PT039_P11_G09_S81	epithelial	Epithelial
344	PT039_P11_G10_S82	epithelial	Epithelial
345	PT039_P11_G12_S84	epithelial	Epithelial
346	PT039_P11_H01_S85	epithelial	Epithelial
347	PT039_P11_H02_S86	epithelial	Epithelial
348	PT039_P11_H03_S87	epithelial	Epithelial
349	PT039_P11_H04_S88	stroma	Stroma
350	PT039_P11_H06_S90	epithelial	Epithelial
351	PT039_P11_H07_S91	stroma	Stroma
352	PT039_P11_H08_S92	epithelial	Epithelial
353	PT039_P11_H10_S94	epithelial	Epithelial
354	PT039_P11_H12_S96	epithelial	Epithelial
355	PT039_P1_A01	macrophage	Immune
